_Hex,_Red,_Green,_Blue,_Title,_Name,_grey,_X11,_SVG,
'4A4A4A,74,74,74,gray29,,gray,X11,,
'080808,8,8,8,gray3,,gray,X11,,
'4D4D4D,77,77,77,gray30,,gray,X11,,
'4F4F4F,79,79,79,gray31,,gray,X11,,
'525252,82,82,82,gray32,,gray,X11,,
'545454,84,84,84,gray33,,gray,X11,,
'575757,87,87,87,gray34,,gray,X11,,
'595959,89,89,89,gray35,,gray,X11,,
'5C5C5C,92,92,92,gray36,,gray,X11,,
'5E5E5E,94,94,94,gray37,,gray,X11,,
'616161,97,97,97,gray38,,gray,X11,,
'636363,99,99,99,gray39,,gray,X11,,
'0A0A0A,10,10,10,gray4,,gray,X11,,
'026666,2,102,102,gray40,,gray,X11,,
'696969,105,105,105,gray41,,gray,X11,,
'6B6B6B,107,107,107,gray42,,gray,X11,,
'6E6E6E,110,110,110,gray43,,gray,X11,,
'707070,112,112,112,gray44,,gray,X11,,
'737373,115,115,115,gray45,,gray,X11,,
'757575,117,117,117,gray46,,gray,X11,,
'787878,120,120,120,gray47,,gray,X11,,
'7A7A7A,122,122,122,gray48,,gray,X11,,
'7D7D7D,125,125,125,gray49,,gray,X11,,
'0D0D0D,13,13,13,gray5,,gray,X11,,
'7F7F7F,127,127,127,gray50,,gray,X11,,
'828282,130,130,130,gray51,,gray,X11,,
'858585,133,133,133,gray52,,gray,X11,,
'878787,135,135,135,gray53,,gray,X11,,
'8A8A8A,138,138,138,gray54,,gray,X11,,
'8C8C8C,140,140,140,gray55,,gray,X11,,
'8F8F8F,143,143,143,gray56,,gray,X11,,
'919191,145,145,145,gray57,,gray,X11,,
'949494,148,148,148,gray58,,gray,X11,,
'969696,150,150,150,gray59,,gray,X11,,
'0F0F0F,15,15,15,gray6,,gray,X11,,
'999999,153,153,153,gray60,,gray,X11,,
'9C9C9C,156,156,156,gray61,,gray,X11,,
'9E9E9E,158,158,158,gray62,,gray,X11,,
'A1A1A1,161,161,161,gray63,,gray,X11,,
'A3A3A3,163,163,163,gray64,,gray,X11,,
'A6A6A6,166,166,166,gray65,,gray,X11,,
'A8A8A8,168,168,168,gray66,,gray,X11,,
'ABABAB,171,171,171,gray67,,gray,X11,,
'ADADAD,173,173,173,gray68,,gray,X11,,
'B0B0B0,176,176,176,gray69,,gray,X11,,
'121212,18,18,18,gray7,,gray,X11,,
'B3B3B3,179,179,179,gray70,,gray,X11,,
'B5B5B5,181,181,181,gray71,,gray,X11,,
'B8B8B8,184,184,184,gray72,,gray,X11,,
'BABABA,186,186,186,gray73,,gray,X11,,
'BDBDBD,189,189,189,gray74,,gray,X11,,
'BFBFBF,191,191,191,gray75,,gray,X11,,
'C2C2C2,194,194,194,gray76,,gray,X11,,
'C4C4C4,196,196,196,gray77,,gray,X11,,
'C7C7C7,199,199,199,gray78,,gray,X11,,
'C9C9C9,201,201,201,gray79,,gray,X11,,
'141414,20,20,20,gray8,,gray,X11,,
'CCCCCC,204,204,204,gray80,,gray,X11,,
'CFCFCF,207,207,207,gray81,,gray,X11,,
'D1D1D1,209,209,209,gray82,,gray,X11,,
'D4D4D4,212,212,212,gray83,,gray,X11,,
'D6D6D6,214,214,214,gray84,,gray,X11,,
'D9D9D9,217,217,217,gray85,,gray,X11,,
'DBDBDB,219,219,219,gray86,,gray,X11,,
'DEDEDE,222,222,222,gray87,,gray,X11,,
'E0E0E0,224,224,224,gray88,,gray,X11,,
'E3E3E3,227,227,227,gray89,,gray,X11,,
'171717,23,23,23,gray9,,gray,X11,,
'E5E5E5,229,229,229,gray90,,gray,X11,,
'E8E8E8,232,232,232,gray91,,gray,X11,,
'EBEBEB,235,235,235,gray92,,gray,X11,,
'EDEDED,237,237,237,gray93,,gray,X11,,
'F0F0F0,240,240,240,gray94,,gray,X11,,
'F2F2F2,242,242,242,gray95,,gray,X11,,
'F5F5F5,245,245,245,gray96,,gray,X11,,
'F7F7F7,247,247,247,gray97,,gray,X11,,
'FAFAFA,250,250,250,gray98,,gray,X11,,
'FCFCFC,252,252,252,gray99,,gray,X11,,
'00FF00,0,255,0,green,,,X11,diff,
'00FF00,0,255,0,green1,,,X11,,
'00EE00,0,238,0,green2,,,X11,,
'00CD00,0,205,0,green3,,,X11,,
'008B00,0,139,0,green4,,,X11,,
'ADFF2F,173,255,47,GreenYellow,green-yellow,,X11,SVG,
'BEBEBE,190,190,190,grey,,grey,X11,diff,
'000000,0,0,0,grey0,,grey,X11,,
'030303,3,3,3,grey1,,grey,X11,,
'1A1A1A,26,26,26,grey10,,grey,X11,,
'FFFFFF,255,255,255,grey100,,grey,X11,,
'1C1C1C,28,28,28,grey11,,grey,X11,,
'1F1F1F,31,31,31,grey12,,grey,X11,,
'212121,33,33,33,grey13,,grey,X11,,
'242424,36,36,36,grey14,,grey,X11,,
'262626,38,38,38,grey15,,grey,X11,,
'292929,41,41,41,grey16,,grey,X11,,
'2B2B2B,43,43,43,grey17,,grey,X11,,
'2E2E2E,46,46,46,grey18,,grey,X11,,
'303030,48,48,48,grey19,,grey,X11,,
'050505,5,5,5,grey2,,grey,X11,,
'333333,51,51,51,grey20,,grey,X11,,
'363636,54,54,54,grey21,,grey,X11,,
'383838,56,56,56,grey22,,grey,X11,,
'3B3B3B,59,59,59,grey23,,grey,X11,,
'3D3D3D,61,61,61,grey24,,grey,X11,,
'404040,64,64,64,grey25,,grey,X11,,
'424242,66,66,66,grey26,,grey,X11,,
'454545,69,69,69,grey27,,grey,X11,,
'474747,71,71,71,grey28,,grey,X11,,
'4A4A4A,74,74,74,grey29,,grey,X11,,
'080808,8,8,8,grey3,,grey,X11,,
'4D4D4D,77,77,77,grey30,,grey,X11,,
'4F4F4F,79,79,79,grey31,,grey,X11,,
'525252,82,82,82,grey32,,grey,X11,,
'545454,84,84,84,grey33,,grey,X11,,
'575757,87,87,87,grey34,,grey,X11,,
'595959,89,89,89,grey35,,grey,X11,,
'5C5C5C,92,92,92,grey36,,grey,X11,,
'5E5E5E,94,94,94,grey37,,grey,X11,,
'616161,97,97,97,grey38,,grey,X11,,
'636363,99,99,99,grey39,,grey,X11,,
'0A0A0A,10,10,10,grey4,,grey,X11,,
'666666,102,102,102,grey40,,grey,X11,,
'696969,105,105,105,grey41,,grey,X11,,
'6B6B6B,107,107,107,grey42,,grey,X11,,
'6E6E6E,110,110,110,grey43,,grey,X11,,
'707070,112,112,112,grey44,,grey,X11,,
'737373,115,115,115,grey45,,grey,X11,,
'757575,117,117,117,grey46,,grey,X11,,
'787878,120,120,120,grey47,,grey,X11,,
