_Hex,_Red,_Green,_Blue,_Title,_Name,_grey,_X11,_SVG,
'FFDAB9,255,218,185,PeachPuff,peach-puff,,X11,SVG,
'FFDAB9,255,218,185,PeachPuff1,,,X11,,
'EECBAD,238,203,173,PeachPuff2,,,X11,,
'CDAF95,205,175,149,PeachPuff3,,,X11,,
'8B7765,139,119,101,PeachPuff4,,,X11,,
'CD853F,205,133,63,peru,,,X11,SVG,
'FFC0CB,255,192,203,pink,,,X11,SVG,
'FFB5C5,255,181,197,pink1,,,X11,,
'EEA9B8,238,169,184,pink2,,,X11,,
'CD919E,205,145,158,pink3,,,X11,,
'8B636C,139,99,108,pink4,,,X11,,
'DDA0DD,221,160,221,plum,,,X11,SVG,
'FFBBFF,255,187,255,plum1,,,X11,,
'EEAEEE,238,174,238,plum2,,,X11,,
'CD96CD,205,150,205,plum3,,,X11,,
'8B668B,139,102,139,plum4,,,X11,,
'B0E0E6,176,224,230,PowderBlue,powder-blue,,X11,SVG,
'A020F0,160,32,240,purple,,,X11,diff,
'9B30FF,155,48,255,purple1,,,X11,,
'912CEE,145,44,238,purple2,,,X11,,
'7D26CD,125,38,205,purple3,,,X11,,
'551A8B,85,26,139,purple4,,,X11,,
'663399,102,51,153,RebeccaPurple,rebecca-purple,,X11,,
'FF0000,255,0,0,red,,,X11,SVG,
'FF0000,255,0,0,red1,,,X11,,
'EE0000,238,0,0,red2,,,X11,,
'CD0000,205,0,0,red3,,,X11,,
'8B0000,139,0,0,red4,,,X11,,
'BC8F8F,188,143,143,RosyBrown,rosy-brown,,X11,SVG,
'FFC1C1,255,193,193,RosyBrown1,,,X11,,
'EEB4B4,238,180,180,RosyBrown2,,,X11,,
'CD9B9B,205,155,155,RosyBrown3,,,X11,,
'8B6969,139,105,105,RosyBrown4,,,X11,,
'4169E1,65,105,225,RoyalBlue,royal-blue,,X11,SVG,
'4876FF,72,118,255,RoyalBlue1,,,X11,,
'436EEE,67,110,238,RoyalBlue2,,,X11,,
'3A5FCD,58,95,205,RoyalBlue3,,,X11,,
'27408B,39,64,139,RoyalBlue4,,,X11,,
'8B4513,139,69,19,SaddleBrown,saddle-brown,,X11,SVG,
'FA8072,250,128,114,salmon,,,X11,SVG,
'FF8C69,255,140,105,salmon1,,,X11,,
'EE8262,238,130,98,salmon2,,,X11,,
'CD7054,205,112,84,salmon3,,,X11,,
'8B4C39,139,76,57,salmon4,,,X11,,
'F4A460,244,164,96,SandyBrown,sandy-brown,,X11,SVG,
'2E8B57,46,139,87,SeaGreen,sea-green,,X11,SVG,
'54FF9F,84,255,159,SeaGreen1,,,X11,,
'4EEE94,78,238,148,SeaGreen2,,,X11,,
'43CD80,67,205,128,SeaGreen3,,,X11,,
'2E8B57,46,139,87,SeaGreen4,,,X11,,
'FFF5EE,255,245,238,seashell,,,X11,SVG,
'FFF5EE,255,245,238,seashell1,,,X11,,
'EEE5DE,238,229,222,seashell2,,,X11,,
'CDC5BF,205,197,191,seashell3,,,X11,,
'8B8682,139,134,130,seashell4,,,X11,,
'A0522D,160,82,45,sienna,,,X11,SVG,
'FF8247,255,130,71,sienna1,,,X11,,
'EE7942,238,121,66,sienna2,,,X11,,
'CD6839,205,104,57,sienna3,,,X11,,
'8B4726,139,71,38,sienna4,,,X11,,
'C0C0C0,192,192,192,silver,,,X11,SVG,
'87CEEB,135,206,235,SkyBlue,sky-blue,,X11,SVG,
'87CEFF,135,206,255,SkyBlue1,,,X11,,
'7EC0EE,126,192,238,SkyBlue2,,,X11,,
'6CA6CD,108,166,205,SkyBlue3,,,X11,,
'4A708B,74,112,139,SkyBlue4,,,X11,,
'6A5ACD,106,90,205,SlateBlue,slate-blue,,X11,SVG,
'836FFF,131,111,255,SlateBlue1,,,X11,,
'7A67EE,122,103,238,SlateBlue2,,,X11,,
'6959CD,105,89,205,SlateBlue3,,,X11,,
'473C8B,71,60,139,SlateBlue4,,,X11,,
'708090,112,128,144,SlateGray,slate-gray,gray,X11,SVG,
'C6E2FF,198,226,255,SlateGray1,gray,,X11,,
'B9D3EE,185,211,238,SlateGray2,gray,,X11,,
'9FB6CD,159,182,205,SlateGray3,gray,,X11,,
'6C7B8B,108,123,139,SlateGray4,gray,,X11,,
'708090,112,128,144,SlateGrey,slate-grey,grey,X11,SVG,
'FFFAFA,255,250,250,snow,,,X11,SVG,
'FFFAFA,255,250,250,snow1,,,X11,,
'EEE9E9,238,233,233,snow2,,,X11,,
'CDC9C9,205,201,201,snow3,,,X11,,
'8B8989,139,137,137,snow4,,,X11,,
'00FF7F,0,255,127,SpringGreen,spring-green,,X11,SVG,
'00FF7F,0,255,127,SpringGreen1,,,X11,,
'00EE76,0,238,118,SpringGreen2,,,X11,,
'00CD66,0,205,102,SpringGreen3,,,X11,,
'008B45,0,139,69,SpringGreen4,,,X11,,
'4682B4,70,130,180,SteelBlue,steel-blue,,X11,SVG,
'63B8FF,99,184,255,SteelBlue1,,,X11,,
'5CACEE,92,172,238,SteelBlue2,,,X11,,
'4F94CD,79,148,205,SteelBlue3,,,X11,,
'36648B,54,100,139,SteelBlue4,,,X11,,
'D2B48C,210,180,140,tan,,,X11,SVG,
'FFA54F,255,165,79,tan1,,,X11,,
'EE9A49,238,154,73,tan2,,,X11,,
'CD853F,205,133,63,tan3,,,X11,,
'8B5A2B,139,90,43,tan4,,,X11,,
'008080,0,128,128,teal,,,X11,SVG,
'D8BFD8,216,191,216,thistle,,,X11,SVG,
'FFE1FF,255,225,255,thistle1,,,X11,,
'EED2EE,238,210,238,thistle2,,,X11,,
'CDB5CD,205,181,205,thistle3,,,X11,,
'8B7B8B,139,123,139,thistle4,,,X11,,
'FF6347,255,99,71,tomato,,,X11,SVG,
'FF6347,255,99,71,tomato1,,,X11,,
'EE5C42,238,92,66,tomato2,,,X11,,
'CD4F39,205,79,57,tomato3,,,X11,,
'8B3626,139,54,38,tomato4,,,X11,,
'40E0D0,64,224,208,turquoise,,,X11,SVG,
'00F5FF,0,245,255,turquoise1,,,X11,,
'00E5EE,0,229,238,turquoise2,,,X11,,
'00C5CD,0,197,205,turquoise3,,,X11,,
'00868B,0,134,139,turquoise4,,,X11,,
'EE82EE,238,130,238,violet,,,X11,SVG,
'D02090,208,32,144,VioletRed,violet-red,,X11,,
'FF3E96,255,62,150,VioletRed1,,,X11,,
'EE3A8C,238,58,140,VioletRed2,,,X11,,
'CD3278,205,50,120,VioletRed3,,,X11,,
'8B2252,139,34,82,VioletRed4,,,X11,,
'808080,128,128,128,WebGray,web-gray,gray,X11,,
'008000,0,128,0,WebGreen,web-green,,X11,,
'808080,128,128,128,WebGrey,web-grey,grey,X11,,
'800000,128,0,0,WebMaroon,web-maroon,,X11,,
'800080,128,0,128,WebPurple,web-purple,,X11,,
'F5DEB3,245,222,179,wheat,,,X11,SVG,
'FFE7BA,255,231,186,wheat1,,,X11,,
'EED8AE,238,216,174,wheat2,,,X11,,
'CDBA96,205,186,150,wheat3,,,X11,,
'8B7E66,139,126,102,wheat4,,,X11,,
'FFFFFF,255,255,255,white,,,X11,SVG,
'F5F5F5,245,245,245,WhiteSmoke,white-smoke,,X11,SVG,
'BEBEBE,190,190,190,X11Gray,x11-gray,gray,X11,,
'00FF00,0,255,0,X11Green,x11-green,,X11,,
'BEBEBE,190,190,190,X11Grey,x11-grey,grey,X11,,
'B03060,176,48,96,X11Maroon,x11-maroon,,X11,,
'A020F0,160,32,240,X11Purple,x11-purple,,X11,,
'FFFF00,255,255,0,yellow,,,X11,SVG,
'FFFF00,255,255,0,yellow1,,,X11,,
'EEEE00,238,238,0,yellow2,,,X11,,
'CDCD00,205,205,0,yellow3,,,X11,,
'8B8B00,139,139,0,yellow4,,,X11,,
'9ACD32,154,205,50,YellowGreen,yellow-green,,X11,SVG,
